PRODUCT,AGE,AREA,RESIDENTIAL_PLACE,EDUCATION,MARITAL_STATUS,HOUSEHOLD_MEMBERS,NO_OF_DEPENDENTS,INCOME,WORK_SENIORITY,BUSINESS AGE,ECONOMIC_SECTOR,EMPLOYEE_NO,LENGTH_RELATIONSHIP_WITH_CLIENT,DEBIT_CARD,CURRENT_ACCOUNT,SAVING_ACCOUNT,SALARY_ACCOUNT,FOREIGN_ACCOUNT,FINALIZED_LOAN,DEPOSIT,PENSION_FUNDS,DEFAULT_FLAG
C,65,County capital,Owner without mortgage,University,married,2,0,1245,5,16,Missing,Missing,1,0,0,0,0,0,0,0,0,0
C,64,County capital,Owner without mortgage,University,married,2,0,1380,5,16,Missing,Missing,8,0,0,0,0,0,0,0,0,0
F,30,Urban area,Living with family,University,married,2,0,1131,2,6,Other,> 1.000,1,1,1,0,0,0,0,0,0,0
C,39,County capital,Owner without mortgage,Post-graduate,divorced,1,0,1730,9,13,Education,between 11-20,2,0,0,0,0,0,0,0,0,0
B,38,County capital,Owner without mortgage,Highschool,single,1,0,1189,5,16,Missing,Missing,1,1,1,0,0,0,0,0,0,0
C,40,Rural area,Owner without mortgage,Missing,single,1,0,740,7,9,Other,between 101-250,1,0,0,0,0,0,0,0,0,0
C,45,County capital,Owner without mortgage,Missing,married,3,1,1010,7,12,Manufacturing,between 0-10,12,0,0,0,0,0,0,0,0,0
B,27,Rural area,Living with family,Post secondary school,single,1,0,630,4,18,Manufacturing,between 101-250,2,0,0,0,0,0,0,0,0,1
C,45,Rural area,Owner without mortgage,Other,married,2,0,816.8,20,23,Manufacturing,between 51-100,1,1,1,0,0,0,0,0,0,0
F,34,County capital,Living with family,Post-graduate,married,3,1,2373,4,18,Manufacturing,between 21-50,13,0,0,0,0,0,0,0,0,0
B,28,County capital,Living with family,University,single,1,0,2645.405,3,15,Other,between 501-1.000,2,0,0,0,0,0,0,0,0,0
B,41,County capital,Owner without mortgage,Post-graduate,married,3,2,2394,10,11,Public administration and defence,between 51-100,1,1,1,0,1,0,0,0,0,0
E,30,Rural area,Owner without mortgage,College,divorced,1,0,1259.4,7,16,Public administration and defence,between 101-250,8,1,1,0,0,0,0,0,0,0
F,42,Rural area,Owner with mortgage,Highschool,married,4,2,5064.995,8,17,Wholesale and retail trade,between 51-100,1,1,1,0,0,0,0,0,0,0
C,63,Urban area,Owner without mortgage,Post secondary school,married,2,0,984,5,16,Missing,Missing,12,0,1,0,0,0,1,0,0,0
